station,r,b,o,g,y,s,address,state,quadrant,year,entrances,WS,HHinWS,HHoutWS,jobsinWS,jobsoutWS,boardings,walkscore
Addison Road-Seat Pleasant,0,1,0,0,0,1,100 Addison Road S. Capitol Heights MD 20743,MD,NA,1980,1,0.4,558,1137,791,1297,3391,47
Anacostia,0,0,0,1,0,0,1101 Howard Road SE Washington DC 20020,DC,SE,1991,2,0.49,1617,2464,1707,2857,7467,59
Archives-Navy Memorial-Penn Quarter,0,0,0,1,1,0,701 Pennsylvania Avenue NW Washington DC 20004,DC,NW,1983,1,0.51,329,401,15493,15493,8714,97
Arlington Cemetery,0,1,0,0,0,0,1000 North Memorial Drive Arlington VA 22211,VA,NA,1977,2,0.35,0,0,0,0,1178,15
Ballston-MU,0,0,1,0,0,1,4230 Fairfax Drive Arlington VA 22201,VA,NA,1979,1,0.5,6114,7826,4768,48830,12003,97
Benning Road,0,1,0,0,0,1,4500 Benning Road Washington DC 20019,DC,SE,1980,1,0.5,2650,3593,1281,1780,3083,64
Bethesda,1,0,0,0,0,0,7450 Wisconsin Avenue Bethesda MD 20814,MD,NA,1984,3,0.56,3795,5411,26102,31121,10788,97
Braddock Road,0,1,0,0,1,0,700 N. West St. Alexandria VA 22301,VA,NA,1983,1,0.43,2295,3705,4892,7226,4739,80
Branch Ave,0,0,0,1,0,0,4704 Old Soper Road Suitland MD 20746,MD,NA,2001,2,0.35,270,614,98,2738,6191,18
Brookland-CUA,1,0,0,0,0,0,801 Michigan Avenue NE Washington DC 20017,DC,NE,1978,2,0.53,1490,2225,7696,8530,7280,84
Capitol Heights,0,1,0,0,0,1,133 Central Avenue Capitol Heights MD 20743,MD,NA,1980,1,0.57,1497,2076,753,1365,2035,67
Capitol South,0,1,1,0,0,1,355 First Street SE Washington DC 20003,DC,SE,1977,1,0.49,1331,1695,4364,4598,7242,90
Cheverly,0,0,1,0,0,0,5501 Columbia Park Cheverly MD 20785,MD,NA,1978,1,0.19,230,789,690,1204,1441,22
Clarendon,0,0,1,0,0,1,3100 Wilson Blvd Arlington VA 22201,VA,NA,1979,1,0.61,3546,3586,5327,5483,1877,94
Cleveland Park,1,0,0,0,0,0,3599 Connecticut Avenue NW Washington DC 20008,DC,NW,1981,2,0.42,2969,4365,1936,2339,4381,83
College Park-U of MD,0,0,0,1,0,0,4931 Calvert Road College Park MD 20740,MD,NA,1993,2,0.47,606,897,2912,3653,4556,34
Columbia Heights,0,0,0,1,1,0,3030 14th St. NW Washington DC 20009,DC,NW,1999,2,0.58,10842,13694,5711,6810,12634,97
Congress Heights,0,0,0,1,0,0,1290 Alabama Avenue SE Washington DC 20020,DC,SE,2001,2,0.45,1532,2318,421,1451,2675,52
Court House,0,0,1,0,0,1,2100 Wilson Blvd Arlington VA 22201,VA,NA,1979,2,0.55,8100,10041,12160,12849,7776,95
Crystal City,0,1,0,0,1,0,1750 South Clark St. Arlington VA 22202,VA,NA,1977,2,0.42,4489,4625,24423,24502,12066,88
Deanwood,0,0,1,0,0,0,4720 Minnesota Avenue NE Washington DC 20019,DC,NE,1978,2,0.5,1447,2111,454,1147,1638,33
Dunn Loring-Merrifield,0,0,1,0,0,0,2700 Gallows Road Vienna VA 22180,VA,NA,1986,1,0.3,794,1804,3120,4483,4611,57
Dupont Circle,1,0,0,0,0,0,1525 20th St. NW Washington DC 20036,DC,NW,1977,2,0.74,10636,12212,35501,36669,21005,98
East Falls Church,0,0,1,0,0,1,2001 N. Sycamore St. Arlington VA 22205,VA,NA,1986,1,0.44,1300,2122,623,1518,4371,46
Eastern Market ,0,1,1,0,0,1,"701 Pennsylvania Avenue SE Washington, DC 20003",DC,SE,1977,1,0.59,3838,4552,6642,6956,6081,98
Eisenhower Avenue,0,0,0,0,1,0,2400 Eisenhower Avenue Alexandria VA 22314,VA,NA,1983,2,0.33,1416,2160,8465,8970,1725,60
Farragut North,1,0,0,0,0,0,1001 Connecticut Avenue NW Washington DC 20036,DC,NW,1976,3,0.63,831,3082,52717,52888,25124,100
Farragut West,0,1,1,0,0,1,900 18th St. NW Washington DC 20006,DC,NW,1977,2,0.69,605,700,36274,38833,22524,99
Federal Center SW,0,1,1,0,0,1,401 3rd Street SW Washington DC 20024,DC,SW,1977,1,0.39,642,1181,13126,13156,5362,75
Federal Triangle,0,1,1,0,0,1,302 12th St. NW Washington DC 20004,DC,NW,1977,1,0.37,4,28,20294,20294,8274,91
Foggy Bottom-GWU,0,1,1,0,0,1,2301 I St. NW Washington DC 20037,DC,NW,1977,1,0.52,5350,5783,34386,37644,23324,95
Forest Glen,1,0,0,0,0,0,9730 Georgia Avenue Forest Glen MD 20910,MD,NA,1990,2,0.46,1284,2240,668,1540,2258,60
Fort Totten,1,0,0,1,1,0,550 Galloway Street NE Washington DC 20011,DC,NE,1978,1,0.31,1282,3258,548,1283,7973,60
Franconia-Springfield,0,1,0,0,0,0,6880 Frontier Drive Springfield VA 22150,VA,NA,1997,2,0.29,363,1207,117,1605,7722,27
Friendship Heights,1,0,0,0,0,0,5337 Wisconsin Avenue NW Washington DC 20015,DC,NW,1984,3,0.71,4071,5736,15279,15689,9298,86
Gallery Pl-Chinatown,1,0,0,1,1,0,630 H St. NW Washington DC 20001,DC,NW,1976,3,0.71,1167,1311,14460,14465,25856,99
Georgia Ave-Petworth,0,0,0,1,1,0,3700 Georgia Avenue NW Washington DC 20010,DC,NW,1999,2,0.58,4623,5953,3456,3961,6137,93
Glenmont,1,0,0,0,0,0,12501 Georgia Avenue Silver Spring MD 20906,MD,NA,1998,2,0.44,1082,2120,856,1224,6057,65
Greenbelt,0,0,0,1,0,0,5717 Greenbelt Metro Drive Greenbelt MD 20740,MD,NA,1993,2,0.34,497,1072,61,229,6210,28
Greensboro,0,0,0,0,0,1,8305 Leesburg Pike Vienna VA 22182,VA,NA,2014,2,0.31,310,1019,13661,15119,943,56
Grosvenor-Strathmore,1,0,0,0,0,0,10300 Rockville Pike Bethesda MD 20852,MD,NA,1984,3,0.37,2715,3771,869,1624,5601,56
Huntington,0,0,0,0,1,0,2501 Huntington Ave Huntington VA 22303,VA,NA,1983,2,0.53,2302,3575,777,1325,8113,48
Judiciary Square,1,0,0,0,0,0,450 F Street NW Washington DC 20001,DC,NW,1976,2,0.63,1845,1967,38364,40657,9043,93
King St-Old Town,0,1,0,0,1,0,1900 King Street Alexandria VA 22301,VA,NA,1983,3,0.6,2112,2303,12921,13306,8758,90
L'enfant Plaza,0,1,1,1,1,1,600 Maryland Avenue SW Washington DC 20024,MD,SW,1977,3,0.64,760,856,25325,26554,20392,80
Landover,0,0,1,0,0,0,Largo Town Center 9000 Lottsford Road Largo MD 20774,MD,NA,1978,1,0.13,128,1317,147,1399,1992,20
Largo Town Center,0,1,0,0,0,1,950 Largo Center Drive Upper Marlboro MD 20774,MD,NA,2004,2,0.37,381,860,84,1909,4856,37
McLean,0,0,0,0,0,1,1824 Dolley Madison Boulevard McLean VA 22102,VA,NA,2014,2,0.39,1013,2110,5709,9094,1525,41
McPherson Square,0,1,1,0,0,1,1400 I St. NW Washington DC 20005,DC,NW,1977,2,0.67,3191,3295,39727,39934,15867,94
Medical Center,1,0,0,0,0,0,8810 Rockville Pike Bethesda MD 20814,MD,NA,1984,1,0.5,294,877,32473,33538,5896,55
Metro Center,1,1,1,0,0,1,607 13th St. NW Washington DC 20005,DC,NW,1976,4,0.68,867,500,35892,35892,27465,95
Minnestoa Ave,0,0,1,0,0,0,4000 Minnesota Avenue NE Washington DC 20019,DC,NE,1978,2,0.42,1372,2677,1278,2263,2877,76
Morgan Boulevard,0,1,0,0,0,1,300 Garrett Morgan Blvd. Landover MD 20785,MD,NA,2004,2,0.21,369,1202,2144,4011,2417,6
Mt Vernon Sq 7th St-Convention Center,0,0,0,1,1,0,700 M St. NW Washington DC 20001,DC,NW,1991,1,0.53,5341,6600,9128,9778,4819,95
Navy Yard-Ballpark,0,0,0,1,0,0,200 M Street SE Washington DC 20003,DC,SE,1991,2,0.58,2704,2785,20394,20750,6821,86
Naylor Road,0,0,0,1,0,0,3101 Branch Avenue Temple Hills MD 20748,MD,NA,2001,1,0.31,1074,2595,464,890,2881,41
New Carrollton,0,0,1,0,0,0,4700 Garden City Drive New Carrollton MD 20784,MD,NA,1978,2,0.36,312,821,1816,3908,8709,53
Noma-Gallaudet,1,0,0,0,0,0,200 Florida Ave N.E. Washington DC 20002,DC,NE,2004,2,0.57,2427,3403,11371,14535,9545,94
Pentagon,0,1,0,0,1,0,2 South Rotary Road Arlington VA 22202,VA,NA,1977,2,0.32,105,512,20105,20105,15706,42
Pentagon City,0,1,0,0,1,0,1250 South Hayes St. Arlington VA 22202,VA,NA,1977,2,0.46,4073,5234,7082,7751,14679,82
Potomac Ave,0,1,1,0,0,1,700 14th Street SE Washington DC 20003,DC,SE,1977,1,0.54,2583,2905,1696,2516,3791,91
Prince George's Plaza,0,0,0,1,0,0,3575 East West Highway Hyattsville MD 20782,MD,NA,1993,2,0.34,614,1738,6507,7343,4990,84
Rhose Island Ave-Brentwood,1,0,0,0,0,0,2400 S. Smith Blvd. Arlington VA 22202,VA,NA,1976,1,0.24,1137,3470,1077,4602,5895,80
Rockville,1,0,0,0,0,0,919 Rhode Island Avenue NE Washington DC 20018,DC,NE,1984,2,0.55,1464,2110,10453,12530,4669,86
Ronald Reagan Washington National Airport,0,1,0,0,1,0,251 Hungerford Drive Rockville MD 20850,MD,NA,1977,2,0.22,0,0,0,0,6419,31
Rosslyn,0,1,1,0,0,1,1850 N. Moore Street Arlington VA 22209,VA,NA,1977,3,0.4,4346,5516,19906,20671,15512,92
Shady Grove,1,0,0,0,0,0,15903 Somerville Drive Rockville MD 20855,MD,NA,1984,2,0.32,460,1040,561,1098,12598,39
Shaw-Howard U,0,0,0,1,1,0,1701 8th St. NW Washington DC 20001,DC,NW,1991,2,0.68,3291,4040,1752,5609,5717,97
Silver Spring,1,0,0,0,0,0,8400 Colesville Road Silver Spring MD 20910,MD,NA,1978,2,0.6,6775,7856,21477,25020,12771,94
Smithsonian,0,1,1,0,0,1,1200 Independence Avenue SW Washington DC 20004,DC,SW,1977,2,0.54,310,298,28487,29406,9524,61
Southern Avenue,0,0,0,1,0,0,1411 Southern Avenue Temple Hills MD 20748,MD,NA,2001,1,0.2,307,2329,50,1060,5107,42
Spring Hill,0,0,0,0,0,1,1576 Spring Hill Road Vienna VA 22182,VA,NA,2014,2,0.4,876,1497,7828,8754,1294,46
Stadium-Armory,0,1,1,0,0,1,192 19th St. SE Washington DC 20003,DC,SE,1977,2,0.59,2487,3083,2919,3067,3594,58
Suitland,0,0,0,1,0,0,4500 Silver Hill Road Suitland MD 20746,MD,NA,2001,1,0.32,574,1503,1904,2169,5374,49
Takoma,1,0,0,0,0,0,327 Cedar Street NW Washington DC 20012,DC,NW,1978,1,0.56,2027,2945,2242,2767,5709,74
Tenleytown-AU,1,0,0,0,0,0,4501 Wisconsin Avenue NW Washington DC 20016,DC,NW,1984,2,0.63,2300,2857,4156,4875,7608,91
Twinbrook,1,0,0,0,0,0,1600 Chapman Avenue Rockville MD 20852,MD,NA,1984,1,0.49,1163,2298,8472,20163,4436,58
Tysons Corner,0,0,0,0,0,1,1943 Chain Bridge Road McLean VA 22102,VA,NA,2014,2,0.4,440,1034,11286,20516,2758,68
U Street/African-Amer Civil War Memorial/Cardozo,0,0,0,1,1,0,1240 U Street NW Washington DC 20009,DC,NW,1991,2,0.68,7340,9529,9034,11893,7781,99
Union Station,1,0,0,0,0,0,701 First St. NE Washington DC 20002,DC,NE,1976,3,0.59,2497,3287,52366,54547,31418,96
Van Dorn Street,0,1,0,0,0,0,5690 Eisenhower Avenue Alexandria VA 22310,VA,NA,1991,2,0.21,343,1843,1183,2877,3321,19
Van Ness-UDC,1,0,0,0,0,0,4200 Connecticut Avenue NW Washington DC 20008,DC,NW,1981,2,0.39,2118,4008,4698,5607,6655,83
Vienna/Fairfax-GMU,0,0,1,0,0,0,9550 Saintsbury Drive Fairfax VA 22031,VA,NA,1986,2,0.45,1647,2529,443,1063,11927,31
Virginia Square-GMU,0,0,1,0,0,1,3600 Fairfax Drive Arlington VA 22201,VA,NA,1979,1,0.52,3523,3547,4113,4203,3995,94
Waterfront,0,0,0,1,0,0,399 M Street SW Washington DC 20024,DC,SW,1991,1,0.44,2949,3043,3764,3910,4104,66
West Falls Church-VT/UVA,0,0,1,0,0,0,7040 Haycock Road Falls Church VA 22043,VA,NA,1986,2,0.26,313,1020,114,1134,3313,40
West Hyattsvile,0,0,0,1,0,0,2700 Hamilton St. Hyattsville MD 20782,MD,NA,1993,1,0.38,1650,2780,79,1342,3859,58
Wheaton,1,0,0,0,0,0,11171 Georgia Avenue Silver Spring MD 20902,MD,NA,1990,2,0.5,1551,2550,7144,7631,4102,90
White Flint,1,0,0,0,0,0,5500 Marinelli Road Rockville MD 20852,MD,NA,1984,1,0.46,1970,3001,15380,21481,3895,85
Wiehle-Reston East,0,0,0,0,0,1,1862 Wiehle Avenue Reston VA 20190,VA,NA,2014,2,0.41,436,930,6826,9555,8143,37
Woodley Park-Zoo/Adams Morgan,1,0,0,0,0,0,2700 Connecticut Ave. NW Washington DC 20008,DC,NW,1981,1,0.41,3723,6077,3966,4768,6765,79
